id;serial;serial_time;gtin;mfg_date;exp_date;usable;serial_machine;print_status;print_time;print_machine;verify_status;verify_time;verify_machine;verify_status_1;verify_status_1_time;verify_status_2;verify_status_2_time;verify_status_3;verify_status_3_time;verify_status_4;verify_status_4_time;verify_status_5;verify_status_5_time
6;18041891000005;"2020-12-03 17:21:29";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
7;18041897000006;"2020-12-03 17:21:29";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
8;18041899000007;"2020-12-03 17:21:29";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
9;18041891000008;"2020-12-03 17:21:29";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
10;18041895000009;"2020-12-03 17:21:29";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
11;18041897000010;"2020-12-03 17:21:29";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
12;18041892000011;"2020-12-03 17:21:29";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
13;18041896000012;"2020-12-03 17:21:29";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
14;18041893000013;"2020-12-03 17:21:29";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
15;18041894000014;"2020-12-03 17:21:29";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
16;18041896000015;"2020-12-03 17:21:29";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
17;18041893000016;"2020-12-03 17:21:29";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
18;18041891000017;"2020-12-03 17:21:29";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
19;18041899000018;"2020-12-03 17:21:29";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
20;18041891000019;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
21;18041892000020;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
22;18041899000021;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
23;18041895000022;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
24;18041898000023;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
25;18041898000024;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
26;18041899000025;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
27;18041899000026;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
28;18041898000027;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
29;18041892000028;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
30;18041891000029;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
31;18041896000030;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
32;18041891000031;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
33;18041893000032;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
34;18041892000033;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
35;18041895000034;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
36;18041899000035;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
37;18041895000036;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
38;18041896000037;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
